설치장소명,설치장소상세,설치시설구분,서비스제공사,와이파이SSID,설치년월,소재지도로명주소,소재지지번주소,관리기관명,위도,경도
광화문,세종문화회관 01-126정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 세종문화회관 01-126정류장,,서울특별시청,37.572666,126.976532
광화문,세종문화회관 01-559정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 세종문화회관 01-559정류장,,서울특별시청,37.572455,126.976532
광화문,세종문화회관(추가) 01-272정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 세종문화회관(추가) 01-272정류장,,서울특별시청,37.573662,126.976504
광화문,kt 광화문지사 01-118정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 kt 광화문지사 01-118정류장,,서울특별시청,37.572392,126.977336
광화문,kt 광화문지사 01-599정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 kt 광화문지사 01-599정류장,,서울특별시청,37.571977,126.977359
혜화역,혜화역.마로니에공원 01-220정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 혜화역.마로니에공원 01-220정류장,,서울특별시청,37.581161,127.002272
혜화역,혜화역.서울대병원입구 01-221정류장,교통시설,KT,SEOUL WiFi,17-Dec,서울특별시 종로구 혜화역.서울대병원입구 01-221정류장,,서울특별시청,37.581089,127.001904
혜화역,"헤화역,서울연극센터 01-228정류장",교통시설,KT,SEOUL WiFi,17-Dec,"서울특별시 종로구 헤화역,서울연극센터 01-228정류장",,서울특별시청,37.584518,127.001298
혜화역,"혜화역,동성중고 01-229정류장",교통시설,KT,SEOUL WiFi,17-Dec,"서울특별시 종로구 혜화역,동성중고 01-229정류장",,서울특별시청,37.584648,127.001672
역사박물관,종로구 신문로2가 2-1 서울역사박물관,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기획전시실1,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기획전시실2,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기획전시실3,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기획전시실4,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 휴게공간,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 복도,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기증기록실 로비 앞,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 방제실,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기증기록실1,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기증기록실 로비 뒤,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,1층 기증기록실2,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 영사실 앞,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 준비실,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 사회교육실,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 관장실,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 복도 계단1,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 복도 계단2,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층화장실 입구,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 여성휴게실 입구,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 통신실,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,2층 정보문화센터,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 좌측 화장실 옆 1,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 좌측 화장실 옆 2,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 영상관,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 복도 계단 옆,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 2존,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 3존,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
역사박물관,4층 4존,지역문화시설,서울특별시,Seoul_WiFi,17-Dec,서울특별시 종로구 새문안로 55,,서울특별시청,37.570466,126.970585
대학로1,공간어울 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 120,,서울특별시청,37.581795,127.002115
대학로1,공간어울 앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 120,,서울특별시청,37.581795,127.002115
대학로1,서울연극센터앞 방범CCTV,기타,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 대학로 135,,서울특별시청,37.583363,127.001598
세종문화회관1,새문안로5길 14 세종문화회관뒤편분위대앞 (CCTV 기둥),지역문화시설,KT,Seoul WiFi,17-Dec,서울특별시 종로구 새문안로5길 14-1,,서울특별시청,37.5715,126.974917
세종문화회관1,"세종문화회관입구기둥 (광화문광장, KT사옥 방향)",지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 세종대로 175,,서울특별시청,37.572239,126.975914
세종문화회관1,세종문화회관 세종아트홀입구 꽃집기둥 (세종문화회관공원방향),지역문화시설,LGU+,Seoul WiFi,17-Dec,서울특별시 종로구 세종대로 175,,서울특별시청,37.572219,126.97555
